		RadSolar1	RadSolar2	RadSolar3	RadSolarReflejada	Humedad	Temperatura	Albedo	Luvia Total	Direccion Viento	Pressure	Velocidad Viento
[%Y-%m-%d]	[%H:%M:%S]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[%]	[°c]	[W/m2]	[mm]	[°]	[mbar]	[m/s]
2024-04-30	09:58:00	977.768	989.295	994.39	120.615	63.517	19.306	873.775	0	205.8	753.32	3.9
2024-04-30	09:59:00	984.804	996.488	1001.397	120.939	64.057	19.378	880.458	0	204.8	753.33	1.9
2024-04-30	10:00:00	992.391	1004.225	1008.834	121.828	62.214	19.392	887.006	0	226	753.33	1.5
2024-04-30	10:01:00	1003.939	1014.87	1021.704	122.419	61.855	19.464	899.286	0	173	753.37	0.5
2024-04-30	10:02:00	1021.753	1032.531	1037.737	124.413	60.213	19.592	913.324	0	99.5	753.3	0.4
2024-04-30	10:03:00	1041.101	1050.984	1056.891	127.093	63.379	19.846	929.798	0	230.7	753.29	2.1
2024-04-30	10:04:00	1063.742	1075.925	1080.366	130.993	59.508	19.945	949.374	0	197.7	753.32	3.6
2024-04-30	10:05:00	1073.142	1085.162	1089.414	132.725	60.28	19.734	956.689	0	188.4	753.23	3
2024-04-30	10:06:00	1084.016	1095.741	1099.294	133.193	59.916	19.747	966.101	0	201.9	753.25	0.7
2024-04-30	10:07:00	604.468	600.103	621.411	73.813	58.446	19.945	547.598	0	157.8	753.26	3.1
2024-04-30	10:08:00	1089.367	1099.578	1103.787	134.897	63.677	19.971	968.89	0	193.8	753.29	3.2
2024-04-30	10:09:00	1121.773	1134.985	1137.51	139.478	60.016	19.803	998.032	0	206.6	753.24	3.6
2024-04-30	10:10:00	522.745	526.427	535.067	63.201	59.053	19.662	471.866	0	214.2	753.31	2.7
2024-04-30	10:11:00	443.474	449.174	451.856	54.136	62.652	19.592	397.72	0	220.9	753.34	2.6
2024-04-30	10:12:00	563.887	568.568	571.649	68.192	57.863	19.635	503.458	0	163.5	753.33	1.6
2024-04-30	10:13:00	1018.836	1032.72	1024.553	124.778	58.616	19.605	899.775	0	226.4	753.24	0.6
2024-04-30	10:14:00	1103.19	1104.557	1128.414	137.385	57.737	19.619	991.028	0	156.3	753.25	1.7
2024-04-30	10:15:00	591.917	604.791	601.276	72.163	57.521	19.678	529.113	0	296.2	753.22	2.9
2024-04-30	10:16:00	531.366	537.306	539.494	64.011	59.439	19.678	475.483	0	251.5	753.22	1.2
2024-04-30	10:17:00	480.079	488.609	485.608	57.991	57.227	19.734	427.617	0	235.1	753.27	1.1
2024-04-30	10:18:00	691.377	682.234	722.404	86.466	58.364	19.734	635.938	0	266.8	753.22	0.8
2024-04-30	10:19:00	430.578	437.149	439.626	52.949	57.598	19.803	386.676	0	307.6	753.27	2
2024-04-30	10:20:00	433.851	440.137	442.421	53.707	57.553	19.816	388.714	0	334.3	753.25	1.2
2024-04-30	10:21:00	766.191	772.275	771.543	93.054	59.911	19.872	678.489	0	96.7	753.22	1.2
2024-04-30	10:22:00	429.157	433.93	436.513	52.536	62.117	20.073	383.976	0	119.7	753.27	1.8
2024-04-30	10:23:00	421.841	426.606	428.228	52.467	59.598	20.342	375.761	0	138.1	753.25	2.6
2024-04-30	10:24:00	416.544	420.752	422.622	51.814	57.563	20.583	370.807	0	95.6	753.2	2.8
2024-04-30	10:25:00	417.602	420.964	422.408	51.909	54.724	20.326	370.498	0	58.8	753.23	3.2
2024-04-30	10:26:00	413.026	417.466	419.098	51.766	56.4	20.145	367.333	0	51.2	753.16	2.9
2024-04-30	10:27:00	409.671	415.323	416.634	51.362	56.778	20.131	365.272	0	47	753.13	2.7
2024-04-30	10:28:00	404.204	410.729	411.404	51.288	54.865	20.046	360.116	0	27.1	753.2	3.4
2024-04-30	10:29:00	409.616	416.43	416.9	51.922	55.324	20.033	364.977	0	19.4	753.25	3
2024-04-30	10:30:00	436.624	443.028	443.568	54.899	56.945	20.059	388.669	0	2.4	753.22	2.6
2024-04-30	10:31:00	494.079	501.275	499.991	62.156	56.684	20.033	437.835	0	241.6	753.14	2.8
2024-04-30	10:32:00	491.097	498.842	500.047	61.207	57.37	20.145	438.84	0	45.8	753.19	2.3
2024-04-30	10:33:00	450.171	459.073	459.653	56.566	57.636	20.342	403.087	0	75.3	753.23	3
2024-04-30	10:34:00	450.823	460.241	460.509	57.019	55.402	20.54	403.49	0	94.9	753.18	3.8
2024-04-30	10:35:00	484.899	494.581	495.285	60.894	55.306	20.399	434.391	0	117.9	753.23	1.5
2024-04-30	10:36:00	499.71	510.269	510.819	62.055	56.459	20.342	448.764	0	0	753.21	0
2024-04-30	10:37:00	528.037	539.148	538.968	65.037	57.845	20.425	473.931	0	177.9	753.18	1.1
2024-04-30	10:38:00	683.932	700.088	689.59	82.222	55.739	20.567	607.368	0	147.5	753.18	2.4
2024-04-30	10:39:00	823.704	836.175	832.671	98.912	55.886	20.54	733.758	0	188.6	753.12	1.6
2024-04-30	10:40:00	1411.472	1429.235	1426.162	173.483	55.512	20.425	1252.679	0	290.4	753.17	1.3
2024-04-30	10:41:00	1387.45	1406.604	1399.27	169.808	56.386	20.425	1229.462	0	319.3	753.1	2.4
2024-04-30	10:42:00	1376.541	1395.385	1389.841	168.494	55.35	20.596	1221.348	0	9.7	753.16	1.7
2024-04-30	10:43:00	1365.648	1387.705	1374.396	166.693	53.89	20.81	1207.703	0	1.9	753.02	1.5
2024-04-30	10:44:00	1383.328	1398.484	1394.463	168.848	58.634	20.895	1225.615	0	332.5	753.14	1.4
2024-04-30	10:45:00	1360.263	1378.831	1369.692	166.054	54.743	20.965	1203.637	0	272.3	753.04	1.2
2024-04-30	10:46:00	1386.014	1401.213	1396.872	168.905	53.478	21.007	1227.967	0	193.3	753.09	0.3
2024-04-30	10:47:00	1381.699	1395.63	1385.216	168.247	54.093	21.093	1216.969	0	165.1	753.09	1.6
2024-04-30	10:48:00	594.868	606.262	608.495	72.085	55.979	21.063	536.41	0	209.3	753.04	1
2024-04-30	10:49:00	500.851	509.656	510.807	61.67	54.367	21.32	449.137	0	38.4	753.02	4.4
2024-04-30	10:50:00	474.188	483.319	483.728	58.736	54.024	21.25	424.992	0	50.2	752.97	2.9
2024-04-30	10:51:00	973.148	974.775	984.038	120.056	55.475	21.234	863.983	0	73.3	752.99	4
2024-04-30	10:52:00	826.838	827.526	858.869	103.691	54.349	21.037	755.177	0	67.3	753.07	4.6
2024-04-30	10:53:00	962.77	947.294	968.862	118.361	53.804	20.994	850.502	0	112	753	2.3
2024-04-30	10:54:00	400.537	405.288	406.132	50.281	55.341	21.037	355.852	0	116.2	752.97	3.6
2024-04-30	10:55:00	1052.072	1047.809	1054.193	131.472	55.155	21.05	922.721	0	105.4	752.91	4.7
2024-04-30	10:56:00	802.177	788.188	814.594	99.025	54.981	21.234	715.568	0	61.6	752.96	5
2024-04-30	10:57:00	343.328	349.896	349.254	44.374	52.603	21.264	304.879	0	68	752.93	5.8
2024-04-30	10:58:00	332.427	341.386	339.582	44.11	53.131	20.922	295.472	0	72.3	753.04	5.8
2024-04-30	10:59:00	366.006	372.092	372.16	47.215	54.335	20.81	324.945	0	69.5	752.99	4.3
2024-04-30	11:00:00	323.625	330.994	331.305	42.757	54.889	20.823	288.548	0	65.8	752.93	4.5
2024-04-30	11:01:00	302.692	309.897	309.908	40.319	55.745	20.866	269.589	0	79.2	752.94	4.7
2024-04-30	11:02:00	288.848	296.787	296.463	38.535	54.244	20.852	257.927	0	36	752.94	3.6
2024-04-30	11:03:00	281.5	288.786	288.881	37.591	56.06	20.81	251.29	0	73.3	752.94	5.5
2024-04-30	11:04:00	277.537	284.926	284.558	37.279	54.695	20.754	247.279	0	73.2	752.85	5.9
2024-04-30	11:05:00	271.483	279.394	278.827	36.562	55.313	20.612	242.265	0	82.7	752.87	4.4
2024-04-30	11:06:00	266.933	274.021	274.236	36.438	55.407	20.455	237.798	0	65.2	752.89	6
2024-04-30	11:07:00	263.317	270.027	270.515	35.867	56.295	20.326	234.648	0	54.6	752.88	4.9
2024-04-30	11:08:00	258.435	264.521	264.794	34.61	57.616	20.158	230.184	0	62.7	752.9	2.9
2024-04-30	11:09:00	248.367	253.578	254.521	32.993	57.163	20.172	221.528	0	88.7	752.88	2.2
2024-04-30	11:10:00	228.929	234.277	234.902	31.041	55.14	20.145	203.861	0	44.4	752.84	5.3
2024-04-30	11:11:00	209.198	214.385	214.762	28.327	56.577	20.046	186.436	0	49	752.9	3.6
2024-04-30	11:12:00	195.537	200.501	200.134	26.953	56.797	20.046	173.181	0	72.8	752.8	5.4
2024-04-30	11:13:00	184.65	189.45	189.275	25.493	57.332	19.958	163.782	0	76.8	752.87	5.4
2024-04-30	11:14:00	174.757	180.629	179.915	24.356	57.219	19.888	155.559	0	88	752.92	4
2024-04-30	11:15:00	167.238	173.764	173.204	22.974	57.631	19.945	150.229	0	72.8	752.78	3.8
2024-04-30	11:16:00	164.117	170.877	170.455	22.657	57.387	19.846	147.798	0	69.2	752.84	4.3
2024-04-30	11:17:00	161.616	168.273	167.86	22.025	58.335	19.79	145.836	0	75.6	752.85	3.4
2024-04-30	11:18:00	159.775	166.606	165.819	21.95	57.698	19.76	143.869	0	63.2	752.81	4.1
2024-04-30	11:19:00	158.201	164.97	164.254	21.254	58.294	19.747	143.001	0	9.2	752.86	2.2
2024-04-30	11:20:00	156.198	163.198	162.608	20.889	58.014	19.776	141.719	0	60.2	752.85	2.4
2024-04-30	11:21:00	153.823	160.637	160.433	20.485	58.245	19.803	139.947	0	75.3	752.9	3.4
2024-04-30	11:22:00	149.98	156.817	156.557	19.812	59.406	19.832	136.745	0	71.6	752.79	1.6
2024-04-30	11:23:00	146.615	153.316	153.011	19.709	58.124	19.902	133.302	0	66.4	752.79	5
2024-04-30	11:24:00	141.007	147.716	147.201	19.437	57.621	19.832	127.764	0	67.3	752.79	4.8
2024-04-30	11:25:00	136.007	142.412	141.372	18.92	57.914	19.747	122.452	0	70.6	752.75	5.2
2024-04-30	11:26:00	131.865	137.445	135.378	18.428	58.719	19.662	116.95	0	76.3	752.75	6.1
2024-04-30	11:27:00	124.597	131.062	129.172	17.698	59.255	19.52	111.474	0	71.3	752.77	5.2
2024-04-30	11:28:00	120.054	125.137	123.974	16.785	59.371	19.405	107.19	0	68	752.81	5
2024-04-30	11:29:00	116.569	121.229	120.214	15.916	60.624	19.336	104.298	0	78.4	752.78	4.2
2024-04-30	11:30:00	114.062	118.474	117.164	15.393	62.864	19.25	101.771	0	78	752.79	2.8
2024-04-30	11:31:00	113.76	118.682	117.067	15.846	60.854	19.165	101.221	0	81.5	752.8	4.4
2024-04-30	11:32:00	113.867	118.379	116.642	15.276	62.876	19.082	101.366	0	55.8	752.81	2.9
2024-04-30	11:33:00	116.03	119.946	118.927	16.108	61.118	18.997	102.819	0	75.1	752.69	5.9
2024-04-30	11:34:00	116.222	121.332	118.444	15.999	62.029	18.842	102.445	0	70.8	752.74	5.6
2024-04-30	11:35:00	119.524	124.738	122.64	16.408	61.962	18.711	106.232	0	71.2	752.66	5.7
2024-04-30	11:36:00	120.53	124.07	122.335	15.838	63.994	18.556	106.497	0	50.6	752.7	3.2
2024-04-30	11:37:00	122.846	127.885	124.67	16.351	65.174	18.374	108.318	0	61.5	752.67	3.3
2024-04-30	11:38:00	125.43	130.593	127.663	16.467	66.361	18.246	111.196	0	34.8	752.67	4.1
2024-04-30	11:39:00	129.445	134.223	132.291	16.053	67.931	18.118	116.239	0	45.3	752.67	2.3
2024-04-30	11:40:00	133.092	138.195	135.203	15.851	69.271	17.977	119.352	0	32.5	752.7	0.9
2024-04-30	11:41:00	141.878	147.35	143.854	16.816	70.028	17.878	127.038	0	69	752.63	3.3
2024-04-30	11:42:00	147.584	154.05	150.525	17.96	68.668	17.806	132.565	0	69.8	752.61	5.7
2024-04-30	11:43:00	152.793	158.201	155.357	18.405	67.966	17.822	136.952	0	77.2	752.57	4
2024-04-30	11:44:00	159.829	166.118	163.847	18.848	64.359	17.904	145	0	57.4	752.61	5.4
2024-04-30	11:45:00	163.654	168.087	166.48	19.011	68.3	18.033	147.469	0	35.1	752.66	1.4
2024-04-30	11:46:00	170.565	176.176	174.032	19.61	67.844	17.947	154.422	0	78.5	752.63	3.7
2024-04-30	11:47:00	178.138	183.976	182.215	20.026	67.801	17.904	162.19	0	38.6	752.6	3.1
2024-04-30	11:48:00	187.99	194.501	192.86	21.16	68.151	17.92	171.7	0	36.1	752.58	3.9
2024-04-30	11:49:00	198.892	205.7	204.013	22.663	68.352	17.904	181.349	0	75.3	752.55	4.9
2024-04-30	11:50:00	212.448	219.487	217.689	23.976	69.358	17.947	193.714	0	84.6	752.58	3.3
2024-04-30	11:51:00	226.089	233.941	231.899	25.616	68.534	17.963	206.283	0	68.2	752.56	4.2
2024-04-30	11:52:00	240.45	248.538	246.604	27.085	67.083	18.075	219.519	0	84.2	752.55	4.7
2024-04-30	11:53:00	255.287	263.567	261.017	28.414	66.373	18.131	232.604	0	60.1	752.58	3.9
2024-04-30	11:54:00	268.127	276.792	273.744	29.371	68.627	18.089	244.373	0	78	752.57	2.9
2024-04-30	11:55:00	279	288.353	284.897	30.187	67.107	18.102	254.711	0	78.4	752.56	4
