		RadSolar1	RadSolar2	RadSolar3	RadSolarReflejada	Humedad	Temperatura	Albedo	Luvia Total	Direccion Viento	Pressure	Velocidad Viento
[%Y-%m-%d]	[%H:%M:%S]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[%]	[°c]	[W/m2]	[mm]	[°]	[mbar]	[m/s]
2024-06-04	10:31:00	265.475	271.441	268.926	29.302	93.74	14.564	239.624	0	61.4	754.84	1.4
2024-06-04	10:32:00	258.278	264.72	260.672	28.774	93.044	14.462	231.899	0	95.7	754.85	0.9
2024-06-04	10:33:00	249.687	256.248	253.248	27.93	94.305	14.593	225.318	0	99.7	754.87	1.4
2024-06-04	10:34:00	245.579	250.785	248.103	27.495	94.303	14.633	220.609	0	124.3	754.92	1.2
2024-06-04	10:35:00	244.144	250.671	246.949	27.603	94.903	14.689	219.346	0	110.6	754.87	1.9
2024-06-04	10:36:00	243.986	251.77	247.541	27.804	94.518	14.649	219.737	0	168.6	754.93	1.9
2024-06-04	10:37:00	249.857	257.494	253.338	28.488	94.442	14.62	224.849	0	168.8	754.98	1.7
2024-06-04	10:38:00	258.212	265.362	261.108	29.495	93.704	14.532	231.613	0	155.7	754.9	1.5
2024-06-04	10:39:00	270.035	276.21	273.271	30.77	93.756	14.462	242.502	0	151.4	754.94	1.3
2024-06-04	10:40:00	290.229	296.545	293.323	32.863	94.029	14.476	260.46	0	157.5	754.9	1.4
2024-06-04	10:41:00	321.795	328.551	325.571	35.961	94.607	14.564	289.611	0	144.5	754.84	2
2024-06-04	10:42:00	379.035	387.224	384.951	41.47	95.896	14.748	343.481	0	158.9	754.87	1.4
2024-06-04	10:43:00	423.062	431.487	429.034	45.973	93.971	14.607	383.061	0	177.9	754.89	1.2
2024-06-04	10:44:00	470.006	480.401	478.094	50.85	94.898	14.649	427.244	0	211.6	754.81	1.1
2024-06-04	10:45:00	538.573	548.62	546.048	57.395	93.96	14.551	488.653	0	223	754.88	1.1
2024-06-04	10:46:00	734.163	742.646	743.388	75.557	93.307	14.462	667.831	0	252.5	754.79	0.6
2024-06-04	10:47:00	529.187	539.626	537.166	56.125	92.436	14.393	481.04	0	224.3	754.8	0.7
2024-06-04	10:48:00	412.892	423.134	420.013	44.929	92.678	14.449	375.084	0	214	754.78	0.4
2024-06-04	10:49:00	399.919	409.309	406.794	43.673	93.842	14.62	363.121	0	167.7	754.82	0.5
2024-06-04	10:50:00	405.554	414.528	411.919	44.333	92.921	14.633	367.587	0	193.7	754.81	0.4
2024-06-04	10:51:00	422.98	431.801	428.747	45.841	92.655	14.676	382.906	0	0	754.83	0
2024-06-04	10:52:00	463.764	471.943	468.772	49.601	93.893	14.86	419.17	0	169.1	754.75	0.7
2024-06-04	10:53:00	664.712	672.247	662.229	68.249	93.142	14.93	593.98	0	111.3	754.73	0.4
